acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
,30 000 000 $,,  11/11/2009,240 437,,Fantasy,Etats-Unis,,"
                                    Terry Gilliam",,,"
                Metropolitan","
                            L'Imaginarium du Docteur Parnassus",https://www.jpbox-office.com/fichfilm.php?id=10439&view=2
"
                            Jared Leto",,,  24/03/1999,240 150,Franchise,Horreur,Etats-Unis,Neal H. Moritz,,,,"
                Columbia","
                            Urban Legend",https://www.jpbox-office.com/fichfilm.php?id=3073&view=2
"
                            Heath Ledger,
                            Colin Farrell,
                            Johnny Depp,
                            Andrew Garfield,
                            Jude Law",30 000 000 $,,  11/11/2009,240 437,,Fantasy,Etats-Unis,,"
                                    Terry Gilliam",,,"
                Metropolitan","
                            L'Imaginarium du Docteur Parnassus",https://www.jpbox-office.com/fichfilm.php?id=10439&view=2
"
                            Sam Rockwell,
                            Helen Mirren",,,  17/08/2005,240 257,,Comédie,Etats-Unis,,,,,"
                Walt Disney Pictures","
                            H2G2: Le Guide du voyageur galactique",https://www.jpbox-office.com/fichfilm.php?id=782&view=2
"
                            Sam Rockwell,
                            Helen Mirren",50 000 000 $,,  17/08/2005,240 257,,Comédie,Etats-Unis,,,,,"
                Walt Disney Pictures","
                            H2G2: Le Guide du voyageur galactique",https://www.jpbox-office.com/fichfilm.php?id=782&view=2
,570 032 ,,  13/01/1999,240 122,,Thriller,France,,"
                                    Claude Chabrol",,,"
                MK2 Diffusion","
                            Au cœur du mensonge",https://www.jpbox-office.com/fichfilm.php?id=2771&view=2
"
                            Jacques Gamblin,
                            Sandrine Bonnaire",570 032 ,,  13/01/1999,240 122,,Thriller,France,,"
                                    Claude Chabrol",,,"
                MK2 Diffusion","
                            Au cœur du mensonge",https://www.jpbox-office.com/fichfilm.php?id=2771&view=2
"
                            Jared Leto",14 000 000 $,,  24/03/1999,240 150,Franchise,Horreur,Etats-Unis,Neal H. Moritz,,,,"
                Columbia","
                            Urban Legend",https://www.jpbox-office.com/fichfilm.php?id=3073&view=2
,13 359 000 €,,  23/04/2014,236 994,,Romance,France,,"
                                    Lisa Azuelos",,,"
                Pathé","
                            Une Rencontre",https://www.jpbox-office.com/fichfilm.php?id=14186&view=2
,60 000 000 $,,  30/12/2015,236 272,,Comédie dramatique,Etats-Unis,,"
                                    David O. Russell",,,"
                20th Century Fox","
                            Joy (2015)",https://www.jpbox-office.com/fichfilm.php?id=15509&view=2
,? $,,  04/07/2012,236 378,,Comédie,Etats-Unis,,"
                                    Woody Allen",,,"
                Mars Distribution","
                            To Rome with Love",https://www.jpbox-office.com/fichfilm.php?id=12748&view=2
,9 850 000 €,,  15/02/2023,233 008,,Comédie,France,,,,,"
                Gaumont","
                            Un homme heureux",https://www.jpbox-office.com/fichfilm.php?id=22597&view=2
,30 000 000 $,,  22/07/2015,233 016,,Drame,Etats-Unis,,"
                                    Antoine Fuqua",,,"
                SND","
                            La Rage au ventre",https://www.jpbox-office.com/fichfilm.php?id=15218&view=2
,50 000 000 $,,  07/04/1999,233 396,,Comédie,Etats-Unis,,"
                                    Tom Shadyac",,,"
                UIP","
                            Docteur Patch",https://www.jpbox-office.com/fichfilm.php?id=3089&view=2
"
                            Robin Williams,
                            Philip Seymour Hoffman",50 000 000 $,,  07/04/1999,233 396,,Comédie,Etats-Unis,,"
                                    Tom Shadyac",,,"
                UIP","
                            Docteur Patch",https://www.jpbox-office.com/fichfilm.php?id=3089&view=2
"
                            Vincent Elbaz,
                            Benoît Poelvoorde,
                            Karin Viard",,,  09/04/2008,233 599,Franchise,Comédie,France,,,,,"
                TFM Distribution","
                            Les Randonneurs à Saint-Tropez",https://www.jpbox-office.com/fichfilm.php?id=9836&view=2
,6 000 000 $,,  28/08/2019,233 242,,Horreur,Etats-Unis,,,,,"
                20th Century Fox","
                            Wedding Nightmare",https://www.jpbox-office.com/fichfilm.php?id=19515&view=2
,7 900 000 €,,  02/11/2011,233 230,,Comédie dramatique,France,,,,,"
                EuropaCorp","
                            La Source des femmes",https://www.jpbox-office.com/fichfilm.php?id=12425&view=2
"
                            Didier Bourdon,
                            Lorant Deutsch,
                            Denis Podalydès,
                            Elie Semoun",,,  11/02/2015,233 221,,Comédie,France,,,Remake,,"
                SND","
                            Un Village presque parfait",https://www.jpbox-office.com/fichfilm.php?id=15008&view=2
"
                            Vincent Elbaz,
                            Benoît Poelvoorde,
                            Karin Viard",15 155 326 €,,  09/04/2008,233 599,Franchise,Comédie,France,,,,,"
                TFM Distribution","
                            Les Randonneurs à Saint-Tropez",https://www.jpbox-office.com/fichfilm.php?id=9836&view=2
"
                            Didier Bourdon,
                            Lorant Deutsch,
                            Denis Podalydès,
                            Elie Semoun",7 172 497 €,,  11/02/2015,233 221,,Comédie,France,,,Remake,,"
                SND","
                            Un Village presque parfait",https://www.jpbox-office.com/fichfilm.php?id=15008&view=2
,21 000 000 $,,  17/11/1993,226 435,,Romance,Etats-Unis,,"
                                    Nora Ephron",,,"
                Columbia","
                            Nuits blanches à Seattle",https://www.jpbox-office.com/fichfilm.php?id=4562&view=2
,12 000 000 €,,  21/12/2022,227 057,,Comédie dramatique,France,,,,,"
                Pathé","
                            Tempête (2022)",https://www.jpbox-office.com/fichfilm.php?id=22439&view=2
,4 000 000 $,,  07/01/2004,227 258,,Comédie,Etats-Unis,,"
                                    Sofia Coppola",,,"
                Pathé","
                            Lost in Translation",https://www.jpbox-office.com/fichfilm.php?id=1428&view=2
,11 245 889 €,,  14/10/2015,227 314,,Comédie dramatique,France,,"
                                    Jean-Paul Rappeneau",,,"
                ARP Selection","
                            Belles familles",https://www.jpbox-office.com/fichfilm.php?id=15399&view=2
"
                            Anna Faris,
                            Scarlett Johansson,
                            Bill Murray",4 000 000 $,,  07/01/2004,227 258,,Comédie,Etats-Unis,,"
                                    Sofia Coppola",,,"
                Pathé","
                            Lost in Translation",https://www.jpbox-office.com/fichfilm.php?id=1428&view=2
,40 000 000 $,,  15/07/2009,227 454,,Romance,Etats-Unis,,"
                                    Stephen Daldry",,,"
                SND","
                            The Reader",https://www.jpbox-office.com/fichfilm.php?id=10564&view=2
"
                            Mathieu Amalric,
                            Gilles Lellouche,
                            André Dussollier,
                            Nicole Garcia,
                            Karin Viard",11 245 889 €,,  14/10/2015,227 314,,Comédie dramatique,France,,"
                                    Jean-Paul Rappeneau",,,"
                ARP Selection","
                            Belles familles",https://www.jpbox-office.com/fichfilm.php?id=15399&view=2
,50 000 000 $,,  14/09/2011,226 931,,Comédie,Etats-Unis,,,,,"
                Warner Bros.","
                            Crazy, Stupid, Love",https://www.jpbox-office.com/fichfilm.php?id=11835&view=2
,14 800 000 $,,  13/04/1994,227 393,,Film familial,Etats-Unis,,"
                                    Jon Turteltaub",,,"
                GBVI","
                            Rasta Rockett",https://www.jpbox-office.com/fichfilm.php?id=4532&view=2
"
                            Gérard Depardieu,
                            Fanny Ardant,
                            Emmanuelle Béart",,,  07/01/2004,222 987,,Drame,France,,"
                                    Anne Fontaine",Remake,,"
                Mars Distribution","
                            Nathalie",https://www.jpbox-office.com/fichfilm.php?id=1125&view=2
"
                            Clint Eastwood,
                            Meryl Streep",,,  06/09/1995,222 900,,Drame,Etats-Unis,Kathleen Kennedy,"
                                    Clint Eastwood",,,"
                Warner Bros.","
                            Sur la route de Madison",https://www.jpbox-office.com/fichfilm.php?id=3993&view=2
