acteurs,budget,compositeur,date,entrees_premiere_semaine,franchise,genre,pays,producteur,realisateur,remake,salles_premiere_semaine,studio,titre,url
"
                            Mark Wahlberg",210 000 000 $,,  16/07/2014,1 215 124,Franchise,Aventure - Action,Etats-Unis,Lorenzo di Bonaventura,"
                                    Michael Bay",,,"
                Paramount","
                            Transformers : l'âge de l'extinction",https://www.jpbox-office.com/fichfilm.php?id=13409&view=2
,200 000 000 $,,  28/04/2010,1 216 314,Franchise,Comicbook,Etats-Unis,,"
                                    Jon Favreau",,,"
                Paramount","
                            Iron Man 2",https://www.jpbox-office.com/fichfilm.php?id=10290&view=2
,190 000 000 $,,  03/07/2013,1 209 900,,Aventure - Action,Etats-Unis,,"
                                    Marc Foster",,,"
                Paramount","
                            World War Z",https://www.jpbox-office.com/fichfilm.php?id=12596&view=2
,140 000 000 $,,  05/08/1998,1 217 814,,Science Fiction,Etats-Unis,,"
                                    Michael Bay",,,"
                GBVI","
                            Armageddon",https://www.jpbox-office.com/fichfilm.php?id=3042&view=2
,100 000 000 $,,  16/01/2013,1 128 810,,Western,Etats-Unis,,"
                                    Quentin Tarantino",,,"
                Sony Pictures","
                            Django Unchained",https://www.jpbox-office.com/fichfilm.php?id=12529&view=2
,125 000 000 $,,  16/09/1998,1 127 486,,Aventure - Action,Etats-Unis,,"
                                    Roland Emmerich",Remake,,"
                Columbia","
                            Godzilla",https://www.jpbox-office.com/fichfilm.php?id=3051&view=2
,200 000 000 $,,  07/08/2019,1 131 141,,Aventure - Action,Etats-Unis,,,,,"
                Universal","
                            Fast & Furious : Hobbs & Shaw",https://www.jpbox-office.com/fichfilm.php?id=18257&view=2
"
                            Dwayne Johnson,
                            Jason Statham,
                            Idris Elba,
                            Kevin Hart,
                            Helen Mirren,
                            Ryan Reynolds",200 000 000 $,Tyler Bates,  07/08/2019,1 131 141,,Aventure - Action,Etats-Unis,,,,,"
                Universal","
                            Fast & Furious : Hobbs & Shaw",https://www.jpbox-office.com/fichfilm.php?id=18257&view=2
,70 000 000 $,,  12/11/1997,1 125 755,Franchise,Science Fiction,Etats-Unis,,"
                                    Jean-Pierre Jeunet",,,"
                UFD","
                            Alien, la résurrection",https://www.jpbox-office.com/fichfilm.php?id=3372&view=2
"
                            Guy Pearce",,,  07/04/2004,1 083 231,,Aventure - Action,France,,"
                                    Jean-Jacques Annaud",,,"
                Pathé","
                            Deux frères",https://www.jpbox-office.com/fichfilm.php?id=1050&view=2
,92 000 000 $,,  21/08/1996,1 078 707,,Catastrophe,Etats-Unis,,"
                                    Jan De Bont",,,"
                UIP","
                            Twister",https://www.jpbox-office.com/fichfilm.php?id=3667&view=2
,12 014 679 €,,  29/02/2012,1 082 028,,Comédie,France,,"
                                    Michel Hazanavicius",,,"
                Mars Distribution","
                            Les Infidèles",https://www.jpbox-office.com/fichfilm.php?id=12528&view=2
,52 000 000 $,,  31/10/2018,1 077 661,,Drame,Etats-Unis,,"
                                    Bryan Singer",,,"
                20th Century Fox","
                            Bohemian Rhapsody",https://www.jpbox-office.com/fichfilm.php?id=17394&view=2
,58 800 000 $,,  18/02/2015,1 083 056,,Guerre,Etats-Unis,,"
                                    Clint Eastwood",,,"
                Warner Bros.","
                            American Sniper",https://www.jpbox-office.com/fichfilm.php?id=14769&view=2
,11 029 596 €,,  25/04/2012,1 086 313,,Comédie,France,,,Remake,,"
                Pathé","
                            Le Prénom",https://www.jpbox-office.com/fichfilm.php?id=12646&view=2
,75 000 000 $,,  27/11/1996,1 085 065,,Animation,Etats-Unis,,,,,"
                GBVI","
                            Le Bossu de Notre Dame",https://www.jpbox-office.com/fichfilm.php?id=3660&view=2
"
                            Charles Berling,
                            Patrick Bruel",11 029 596 €,,  25/04/2012,1 086 313,,Comédie,France,,,Remake,,"
                Pathé","
                            Le Prénom",https://www.jpbox-office.com/fichfilm.php?id=12646&view=2
,30 000 000 €,,  05/04/2023,1 007 159,,Aventure - Action,France,,,,,"
                Pathé","
                            Les Trois Mousquetaires: D'Artagnan",https://www.jpbox-office.com/fichfilm.php?id=22500&view=2
