,budget,compositeur,date,duree,entrees_premiere_semaine,franchise,genre,pays,producteur,remake,salles_premiere_semaine,titre,scoring_acteurs_realisateurs,season,coeff_studio
182,150000000,,2009-10-14,90,329768,,Film familial,Etats-Unis,Jerry Brukheimer,,498,Mission G,0.0689655172413793,Automne,3
183,69000000,James Newton Howard,2018-04-04,139,331963,,Thriller,Etats-Unis,,,334,Red Sparrow,0.4482758620689655,Printemps,3
184,7320309,,2015-11-18,97,324441,,Comédie dramatique,France,,,371,L'Hermine,0.0689655172413793,Automne,2
185,95000000,,2009-01-28,120,324090,,Thriller,Etats-Unis,,,450,Walkyrie,0.7241379310344827,Hiver,2
186,140000000,John Williams,2016-07-20,117,322157,,Fantasy,Etats-Unis,Steven Spielberg,,758,Le Bon gros géant,0.6551724137931034,Été,0
187,30000000,Danny Elfman,1993-04-21,113,316230,,Drame,Etats-Unis,,Remake,196,Sommersby,0.3103448275862069,Printemps,3
188,70000000,,2018-06-13,110,318773,Franchise,Aventure - Action,Etats-Unis,,,554,Ocean's 8,0.896551724137931,Été,3
189,59000000,,2018-10-17,140,318668,,Drame,Etats-Unis,Steven Spielberg,,449,First Man - le premier homme sur la Lune,0.3103448275862069,Automne,3
190,140000000,,2007-10-17,90,318681,Franchise,Comédie,Etats-Unis,,,479,Rush Hour 3,0.1034482758620689,Automne,0
191,165000000,,2012-12-05,101,318656,,Animation,Etats-Unis,John Lasseter,,524,Les Mondes de Ralph,0.0,Hiver,3
192,120000000,Alan Silvestri,2002-10-16,78,313926,Franchise,Film familial,Etats-Unis,,,614,Stuart Little 2,0.0,Automne,3
193,40000000,,2006-02-22,117,317867,,Drame,Etats-Unis,,,244,Réussir ou mourir,0.0,Hiver,0
194,25000000,,1983-01-26,99,317821,Franchise,Aventure - Action,Etats-Unis,,,,Rocky III : L'Œil du tigre,0.3448275862068966,Hiver,0
195,9100000,,2007-02-07,104,317479,,Comédie,France,,,284,Odette Toulemonde,0.1724137931034483,Hiver,2
196,11754027,,2019-12-04,117,316885,,Comédie dramatique,France,,,622,Le Meilleur reste à venir,0.0689655172413793,Hiver,2
197,8525529,,2012-09-19,95,316810,,Comédie,France,,,325,Les Saveurs du palais,0.0,Automne,0
198,100000000,James Newton Howard,2010-12-15,103,316258,,Thriller,Etats-Unis,,Remake,568,The Tourist,0.4827586206896551,Hiver,2
199,55000000,,2015-09-23,122,313160,,Thriller,Etats-Unis,,,376,Everest (2015),0.1724137931034483,Automne,3
200,60000000,Thomas Newman,2000-03-01,189,312772,,Drame,Etats-Unis,,,-,La Ligne verte,0.3448275862068966,Printemps,0
